techname,tag,category,companyname,img,tagline,description,srcurl
蛍光灯ピン,世界シェア1位,住宅・家電,福井鋲螺株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/fukuibyora03.jpg,世界シェアNo.1身近な蛍光灯にも当社の先端技術が活かされています,日常目にしている蛍光灯の両端に2本ずつ、計4本のピンがあります。当社が製造するピンは、2003年以降、世界の大手電機メーカーにも採用され、世界シェアナンバーワンを誇っています。また、直径2mm以下の鍛造パーツの分野では、国内において多くのシェアを占め、プラズマディスプレイやパソコンの電子部品、携帯電話の微小部品など多くの製品に使用されています。当社の技術は、切り屑を出さない加工方法と、鉛を含まない材料の使用で環境に配慮している点でも評価を受けています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/118.html
積層セラミックコンデンサ,世界シェア1位,スマートフォン,株式会社福井村田製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/fukui-murata02.jpg,シングルμmオーダーの薄層化技術を量産レベル で確立、実用化,"コンデンサとは一時的に電気を蓄える機能をもった電子部品。スマートフォンでは1台あたり約1000個、パソコンで約800個、自動車には約5,000〜8,000個程度搭載されています。小型化と高性能化が求められる現在、電極を形成したセラミックシートを何枚も積み重ねた「積層セラミックコンデンサ」が数多く使われており、この生産においてムラタグループ全体で世界シェア約40％（第1位）を占めており、このうち半分を当社で生産しています。現在、当社はムラタグループのフラッグシップ事業所として、世界最小の積層セラミックコンデンサ（0.25mm×0.125mm）の量産を進めており、更なるモバイル機器の小型化と高性能化に貢献できる部品を世界に先駆けて提案していきます。",http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/148.html
ヌレンザ（超撥水性繊維を使用した濡れない傘）,,ファッション,株式会社福井洋傘,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/fukui-yougasa02.jpg,新素材を駆使した傘づくりが特徴,北陸技術交流テクノフェアのクレーム博覧会に寄せられた「雨の日、電車などでは傘の滴が他人に迷惑」との声を解決するために、開発した製品です。こんな傘があったらといった要望や不具合を解決することで、商品開発に活かしてきたことが当社の原動力です。（平成19年に「元気なモノ作り中小企業300社」（経済産業省）に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/177.html
スパーブ291（平板瓦）（一体葺き回し工法、茅葺風屋根瓦工法）,世界シェア1位,住宅・家電,福井窯業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ceramic/fukuiyogyo02.jpg,曲線を境目なく平板の陶板瓦でつなぎ、優雅な湾曲を可能にした施工法,この施工には特注品の陶板瓦スパーブ291「神宮瓦」を採用。10種類ほどの形を用意し、境目なくつなぐ一体葺き廻しにより、優雅な湾曲に仕上げることができました。屋根瓦の歴史的意匠の自由度が増すネオ・トラディショナルな現代的日本建築が可能になった施工方法であると自負しています。また、工法（曲がり屋根に瓦を敷設する工法）は特許を取得しております。福井の宝である笏谷石は現在では採掘されていません。当社では笏谷石の歴史と文化を後世に残していくため、スパーブ291シリーズで笏谷石風陶板瓦を製作しました。笏谷石の風化した色合いも5色の混ぜ葺きで表現しました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/082.html
緩み止め機能付きナット（高品質精密切削加工技術）,,ファッション,株式会社フクオカラシ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/fukuokarashi02.jpg,精密切削加工技術が生み出す緩み止め機能付きナット,通常のナットを使用した場合、振動や衝撃などにより時間がたつにつれネジが徐々に緩んでしまい、ガタつきの原因となっていました。その問題をクリアさせたのが、緩み止め機能を付加させた世界最小の緩み止め機能付きナット「クロスグリップナット」です。ネジを挿入すると、4つのファクター（ツメ部）が外側に押し広げられ、その反発力が中心部に集中。ネジが強力に締め付けられ、振動や衝撃によるネジの緩みを防止し、その効果は持続します。本製品は、メガネフレームのレンズ締結部のほか、自動車など、ネジの緩みに悩まされる様々な業界で採用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/133.html
超高温環境や急速冷却状態を生み出す「多相交流アークプラズマ装置」,,スマートフォン,福伸工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/fukushin02.jpg,ACプラズマによる低コスト・高性能ナノマテリアルを大量合成,"多相交流アークプラズマ装置は、容器を水冷構造で製作しており、その中で超高温環境（3,000℃～10,000℃）を生み出し、通常の加熱方法ではできない熱処理が可能です。超高温による材料の蒸発や、急速な冷却過程を経ることで、様々なナノ粒子を製造することができ、特に当社の装置は超高温領域を広く設けることができるため、ナノ粒子の大量生成に向いていると評価されています。自動車、スマートフォン、医療分野など身近な製品で広く応用できます。",http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/119.html
多段式パレット水平移送３Dコンベア,,機械・ロボット,福伸工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/fukushin03.jpg,食品を加熱・冷却しながら移送できる食品用コンベア,食品を加熱・冷却しながら移送できるコンベアシステム。冷凍食品やカップ食品などの加熱・冷却・乾燥・発酵・保管することができます。従来型のシステムは平面的ですが、これを多階層（9段～13段）にすることで、装置自体の小型化が可能になり、設置スペースや電力のコストダウンにつながっています。また、加熱装置と冷却装置を組み合わせることで、1台で2つの処理ができるなど、あらゆるニーズに合わせて設計・製作しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/119.html
アルパレージ,国内シェア1位,住宅・家電,フクビ化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/fukuvi02.jpg,異形押出成形技術とインクジェット印刷技術などの諸技術を組み合わせた製品,アルパレージは、浴室や洗面脱衣室などサニタリー全般の壁、天井に使用可能な抗菌仕様のパネルです。冬場でも暖かい空間を維持できる高い断熱性や、浴室でも使用可能な耐水性を有しています。さらには、表面UVコートで汚れが付きにくく、付いた汚れも簡単に拭き取れる仕様となっています。乾式（工場で製造した壁材などを現場で取り付ける工法）の断熱パネルでは国内シェアナンバーワンとなっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/078.html
メディカル白衣（看護衣）,国内シェア1位,医療,冨士経編株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/fujitateami02.jpg,原糸から交編まで、独自加工技術が活きています,精密電子機器が多数あり、人の生命に関わる医療現場で着用される白衣（看護衣）の素材には、作業性や着心地がよいことはもちろん、静電気による誤作動やほこりを防ぐ機能が求められています。当社の製品は、吸汗性や通気性に優れる綿と電気を瞬時に逃す導電糸が混合され、経編トリコットにより柔らかい肌合いと伸縮性を実現。メディカル白衣（看護衣）の経編トリコットでの国内シェアナンバーワンを誇り、市場にて評価いただいています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/043.html
紙管を利用した締太鼓（商品名：新打楽器ヤマコ）,,カルチャー,プランニングヤマコウ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/planning-yamakou02.jpg,胴部分に紙管、皮部分にテントシートを使用し、独自の工夫で製品化,近年、保育園や小中学校の授業や老人介護施設のリハビリなどに和太鼓を取り入れるところが増えています。従来の締太鼓は、皮部分に牛や馬などの皮を使用し、胴部分には自然木を使用しているため、非常に高価であり、十分な数量を確保するのは困難です。当社は、子供たちに楽しく伸び伸びと太鼓を叩いてもらえるよう、安価で色や音質にも幅広く対応できる製品を開発しました（商品名：新打楽器ヤマコ）。環境にも配慮した材料を用い、メンテナンスも簡易な構造のため、地域での郷土芸能文化の活性化にも貢献できる製品となっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/178.html
モニュメント型風力発電機,国内シェア1位,社会インフラ・ソリューション,株式会社プロード,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/proad02.jpg,ベアリングに磁気を利用した独自技術により毎秒2mの風力で発電可能に,プロードは、1994年に組合として鉄工、金属加工、電気 工事、設備、デザイナーなど異業種の中小企業経営者10人で設立。周辺環境に配慮した都市型風力発電機の共同研究に取組み、1998年に微風でも回転する静かなモニュメント型風力発電機「エオリカ」を開発しました。国内で唯一、モニュメント型風力発電機を製造しており、（独）国際協力機構（JICA）のプロジェクトでタンザニア に設置されるなど、これまでに国内外で約60基を納入しています。（平成16年度第3回産学官連携推進会議（内閣府主 催）の科学技術政策担当大臣賞を本県で初めて受賞）2020年には、協同組合プロードを株式会社プロードに組織変更いたしました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/149.html
HC式防火水槽・耐震性貯水槽,国内シェア1位,社会インフラ・ソリューション,ベルテクス株式会社　福井本部,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ceramic/vertex02.jpg,防火水槽をコンクリート2次製品化し、工期短縮と省力化を実現。国内シェアNo.1,"当社が1981年に開発した「HC式防火水槽」は、日本初のコンクリート2次製品による組立式防火水槽で、（ー財）日本消防設備安全センターの2次製品防火水槽の認定第1号を取得。従来は、現場施工で各工程を人力で行っていたものを、コンクリート2次製品化することで大幅な工期短縮と省力化を実現しました。全国16社のコンクリート2次製品メーカーへの技術供与で全国供給の体制が整備され、全国で設置される2次製品防火水槽の50％以上のシェアを有し、これまでの実績は36,000基を超えています。",http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html
無散水融雪システム,国内シェア1位,社会インフラ・ソリューション,ベルテクス株式会社　福井本部,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ceramic/vertex03.jpg,2倍以上の熱伝導率により高効率で省エネなシステム,「無散水融雪システム」は、管を埋め込んだコンクリート製パネルを車道や歩道に設置し、管に温かい水を通すことで凍結を防止したり、雪を融かすシステムです。水をまかないことで、水跳ねがなく快適な歩行が可能で、まいた水の凍結の心配もない、雪国の冬季バリアフリーを実現するシステムです。パネルはコンクリートに福井県産の特殊な骨材を使用しているため、普通のコンクリートに比べて2倍以上の熱伝導率があり、高い融雪能力を有している点が特長です。工場製作のため高強度・高品質で、従来の半分以下の工期での施工が可能です。融雪で使用した水は、散水として利用するなど、より環境に配慮したシステムも開発しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html
コンクリート造エレベーターシャフト,,社会インフラ・ソリューション,ベルテクス株式会社　福井本部,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ceramic/vertex04.jpg,居住しながらの施工、および工期短縮と省力化を実現,「プレキャスト・プレストレストコンクリート造エレベーターシャフト」は、鉄筋コンクリート製ブロックの組立によるエレベーター専用建物で、（一財）ベターリビングで構造評定を受けた工法です。居住しながらの施工、および工期短縮と省力化を実現。既存建物の外側に既存建物と構造的に分離・独立するように設計・施工するため、暴風・地震による既存建物の被災危険度を増加させない技術であると共に、居住者・利用者が既存建物内に居る状態で工事を進められます。共同住宅・学校・公民館・図書館・ホテル等、多様な建物、並びに歩道橋などの既存建物にエレベーターを後付する場合に欠かせない技術であり、バリアフリー社会の構築に貢献できる技術です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html
非接触電力伝送装置,,機械・ロボット,北伸電機株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/hokushindenki02.jpg,伝送ギャップ10ｍｍで60Ｗ（400Wも）、効率80％を実現,今後ますます発展が期待されるロボットですが、ロボットへの端子による接触充電には充電端子の汚れによる充電不良、防水構造のロボットの場合には、電池を取り外し充電する時に発生する気密性の劣化から内部への水の浸入などの問題があります。 当社が開発した「非接触電力伝送装置」は、これらのトラブルを解決する高効率で大電力の非接触電力伝送を実現。既に、ロボットや無人搬 送車向けに問い合わせのあった数社へ試作品を納入済みで、今後の量産化が見込めるまでになりました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/150.html
新開発絶縁材ヒーター,,航空・宇宙,北陸ヒーティング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/hokurikuheating02.jpg,液晶テレビ画面への納入実績多数。医療機器、人工衛星にも活用されるオンリーワン技術,"コイル状の発熱線を、金属製の筒（シーズ）で覆った工業用ヒーターは、家庭用ホットプレートから自動車のプレス機、人工衛星の霜取り装置など幅広く使用されていますが、当社はヒーターの材料（絶縁材）に着目し、世界初となる絶縁材の開発に成功しました。900度まで達し、4,000時間以上の連続通電を行っても発熱線が切れない特性を持つ『ボロンヒーター』の量産化にも着手し、LED信号機に活用される着雪センサー付消雪装置や、路面消雪装置の製造など、より一層、ヒーター業界で躍進出来るよう挑戦を続けています。",http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/151.html
微細バリ取り剤（商品名：ホロクリン）,世界シェア1位,スマートフォン,株式会社北陸濾化,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/hokurikuroka02.jpg,無電解エッチングで選択的に“バリ” を除去,現在、世の中で使われる様々な機械や装置、端末には金属部品が使われており、それらの部品は用途に合わせて多様な種類の金属があり、年々小型化・複雑形状化が進んでいます。当社は、これらの微少な金属部品の製造時や加工時にできる“バリ” の除去を目的に、表面処理剤「ホロクリン」を開発しました。従来行われていた物理研磨処理などでは難しかった小型・複雑形状の部品に対応できる技術であるため、電子部品やメガネ、医療用器具など、バリが絶対にあってはならない製品分野に活用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/070.html
NeoContrast®（イエローライトカットレンズ）,,ファッション,株式会社ホプニック研究所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/hopnic02.jpg,視界環境の改善に効果,加齢とともに水晶体は黄色く濁り、黄色光が水晶体で散乱して眩しく感じるようになってきます。NeoContrast®は黄色光を事前にカットし散乱を防ぎ、防眩効果が期待できます。また、黄色光をカットすることで赤色、青色、緑色などが際立ち、くっきり見える効果もあります。NeoContrast®(イエローライトカット）技術の国内シェアは約90％です。高齢化社会が進む現代社会で視覚、色覚改善要望に応えることができるレンズです。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/134.html
盛土・地盤補強用繊維構造体ジオテキスタイル「アデム®」,,社会インフラ・ソリューション,前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/maedakousen02.jpg,盛土の崩れを抑止する繊維構造体全国で1万件以上の使用実績,平野部が少なく雨の多い日本では、盛土・地盤補強による土地の有効利用と災害の未然防止が、土木分野の大きなテーマになっており、それらを解決するために高分子材料からなる高強力の格子状ネット（一般名称：ジオテキスタイル）が使用されています。従来製品は、伸びが大きいために盛土の変形抑止効果が小さく、また、石混じりの土に使用するとその衝撃でネットが破損するという欠点がありましたが、当社のジオテキスタイルは、ポリエチレン製の格子状ネットに、高強力・低伸度のアラミド繊維を挿入することで、これらの欠点を克服。伸びが小さいために変形抑止効果が大きく、耐衝撃性が高いため使用する土質に関係なく盛土を健全に保持することができます。この構造が盛土や地盤の補強に適していることを実験的に見出し、（一財）土木研究センターの建設技術審査証明を取得するなど、安心して使用できる材料として高い評価を受け、全国の道路に１万件以上の使用実績があります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html
高強力繊維性落石防護柵「ネイチャーネット®」,,社会インフラ・ソリューション,前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/maedakousen05.jpg,高耐久性繊維を利用した落石・土砂の防護柵。仮設から恒久対策までマルチに対応,災害から生命や財産を守る斜面防災工事は、作業員の高齢化や維持管理費用の増大化などから、施工性が良く低コストの対策が求められています。当社は、従来の繊維ネットにはない極太ラッシェル網地と、高強度でありながら高い伸度をもつロープを組み合わせた「ネイチャーネット」を主材料とし、その他構成部材にも特殊繊維を使用したフェンス構造体を開発しました。フェンス自体に柔軟性をもたせることで、繊維でありながら150kJまでの高エネルギーの落石にも対応できる、従来の鋼製落石防護柵にない新しいタイプの防護柵です。軽量で作業員の負担軽減につながるほか、設置時・メンテナンス時の低コスト化を実現しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html
耐候性大型土のう「ツートンバック®」,国内シェア1位,社会インフラ・ソリューション,前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/maedakousen06.jpg,福井豪雨の経験から生まれた耐候性大型土のう,従来の土木工事用仮設土のうには、フレキシブルコンテナバッグが使用されてきましたが、穀物など粉粒状貨物の輸送用に作られたため、長時間の屋外設置や土砂の充填に耐えうるものではなく、2004年に発生した福井豪雨の復旧工事でも2か月程度で劣化が進み、吊り下げ撤去ができないという問題が発生しました。この経験から、数年間の耐久性を有する「ツートンバッグ」を開発しました。原糸に練り込まれた紫外線吸収剤が化学繊維の劣化を抑制するため、災害復旧工事や備蓄など様々な用途で長時間設置後でも移動や転用が可能な耐候性に優れた土のうとして活躍しています。（「耐候性大型土のう積層工法」設計・施工マニュアル〈（一財）土木研究センター〉性能評価証明取得。（NETIS 登録番号KT-060144-V）※掲載期間終了）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html
袋型根固め工法用袋材「ボトルユニット®」,,社会インフラ・ソリューション,前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/maedakousen08.jpg,"耐久性・耐候性・耐薬品性に優れ、
                      河川護岸の防災や災害時の応急復旧に適用可能",当製品は、ポリエステル繊維（紫外線吸収剤含有）を使用したラッシェルネット2重構造の袋材で、中詰石材を1～4トンまで充填し、クレーンで吊り上げても設置できる強度を有しています。河川護岸の崩壊を防ぐための根固め工や、のり覆い工として使用されており、従来使用されているコンクリートブロックやフトンカゴ工と比べて軽量で、施工性に優れています。柔軟で地盤追従性に優れていることから、応急災害復旧時の積み重ねも容易で、陸上から水中への設置も容易かつ迅速に行えます。耐薬品性にも優れているため、pHの低い酸性河川での使用も可能です。（（一財）土木研究センター建設技術審査証明書（建技審証第0109号）取得。（NETIS登録番号KT-000028-VE）※掲載期間終了）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html
形状記憶合金の直接接合技術,,ファッション,増永眼鏡株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/masunaga02.jpg,形状記憶合金と異種金属との直接接合を世界で初めて実現,当社が開発した「KOKI Sports Flex」は、①従来のメガネ用バネ材の8～10倍の弾力を持ち、②柔軟性に富んで曲げても元の形に戻る復元力があり、③フレームの変形が少ないという特性により、壊れにくさと掛け心地の良さを兼ね揃えた形状記憶合金フレームで、当社の主力商品となっています。このメガネ枠の開発には、当社が世界で初めて成功したニッケルチタン合金と異種金属との「直接接合技術」が活きています。このニッケルチタン合金の「直接接合技術」や「部分熱加工技術」は、医療用具である歯科矯正用ワイヤー製造など、異業種の分野にも展開しています。（平成21年に「元気なモノ作り中小企業300社」（経済産業省）に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/135.html
5軸制御立形マシニングセンタ（MAM 72シリーズ）,,自動車,株式会社松浦機械製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/matsuura02.jpg,F1マシンの部品加工に採用。国際水準を超えた高い信頼を獲得。,機械加工分野の多品種少量（変量）生産、高速高精度複雑加工のニーズが高まる中、これまでの3軸同時加工からのさらなる加工効率改善を求め、多軸加工への移行が進んでいます。当社が開発した「5軸制御立形マシニングセンタMAM72シリーズ」は、5軸加工機のため1回の段取りであらゆる方向から加工でき、高精度な部品加工を可能にしました。イギリスでF1マシンの部品加工に採用されるなど、国際水準を超えた高い信頼を得ています。2020年　経済産業省が選定する、「2020年版グローバルニッチトップ企業100選」に「5軸制御立形マシニングセンタ」で選定される,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/120.html
ハイブリッド金属３Ｄプリンタ（金属光造形複合加工機）,,機械・ロボット,株式会社松浦機械製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/matsuura03.jpg,世界初の「金属光造形複合加工技術」による金型などの製造装置,金属光造形複合加工技術は全く新しい概念の加工法です。金型などを機械製作する工程において、金属粉末をレーザーで一層ずつ焼結して積み上げる作業と、それを切削して仕上げる作業とを同一装置内で行う世界で初めての複合加工法です。従来の切削加工などでは不可能であった複雑な立体形状の製作が、この金属光造形複合加工機のみで可能となり、金型などの製作が期間1/2、コスト1/2でできるようになりました。（平成19年の機械工業デザイン賞の日本商工会議所会頭賞を受賞）（この技術は、パナソニック㈱が開発した基本技術を基に、パナソニック㈱、㈱松浦機械製作所、大阪大学、㈶ふくい産業支援センターで共同開発したものです。）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/120.html
「超高密度織」技術を活かしたQRコード織ネーム・バーコード織ネーム,,ファッション,株式会社松川レピヤン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/matsukawarapyarn02.jpg,大手企業の制服管理に貢献。ヨーロッパ製品からの切替え多数,1枚1枚異なる柄の織ネーム製造技術により、今まで難しいと言われてきた連番での織ネーム作成に成功。この技術に、当社が特許を取得しているQRコードを表現出来る織技術「超高密度織」の技術を組み合わせ、連続番号でのバーコードネームや可変するQRコードネームを開発。それにより、多数の大手企業の制服管理（盗難・紛失・転売防止）に活用される様になりました。織ネームは洗濯しても色落ちせずに耐久性も高い事からプリントや印字からの切り替えも進んでおり、更には「超高密度織」の技術により海外製の既存のバーコードネームより小さく作成ができる上に、見た目が綺麗と評価。為替の影響がない日本生産を望むお客様も多い為、海外（主にヨーロッパ等）製品から当社への切り替えが進んでいます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/046.html
リクライニングソファの スライドフィット機能,,住宅・家電,マルイチセーリング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/maruichi-selling02.jpg,国立大学法人 福井大学との共同研究により開発し、国内外で特許を取得。,福井大学との共同研究により開発した本製品は、リクライニング時、背中にフィットしたまま背もたれがスライドするため、腰部とソファに隙間を感じることなく、座りなおし不要で快適に座ることができます。今後はシニア市場や介護市場にも展開し、AIやIOTとの連携による快適なソファの提案を行ってまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/179.html
反射材,,ファッション,株式会社丸仁,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/marujin02.jpg,虹色という特殊な色彩と、高輝度な反射性能,反射材とは、夜間の暗闇で見えにくいものを見えやすくする素材やアイテムの事で、その特性から交通事故を予防するマストアイテムと言われています。交通安全の為に反射材を多くの人に身に着けてほしい…反射材に関わる全ての人がそう考えましたが、反射材には、その用途の歴史のイメージから危険な現場で作業する作業着のイメージがついてしまい、普段着（ファッション）に使われることはほとんどありませんでした。ファッションはまず、カッコよく（可愛く）ないといけない。この大前提のルールに適応するため見える光の色は画一的な真っ白でなく、美しいオーロラのような光になるように調整して、この新素材“オーロラリフレクター” は完成しました。オーロラリフレクターは、アパレルブランド“ANREALAGE” のデザイナー森永邦彦氏によってパリコレクション作品に使用されるなど、最新のファッション素材として反射材の新たな可能性を広げています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/047.html
繊維強化複合材料およびその応用製品（炭素繊維を用いたスーツケースなど）,,自動車,丸八株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/maruhachi02.jpg,開繊技術を活用して、乾電池自動車のボディを開発,当社は、「高強度」「高剛性」「超軽量」という繊維の持つ新たなキーワードと共に更なる発展を期して、繊維強化複合材料分野などへの積極的な展開を進めています。炭素繊維織物と樹脂加工技術を用いて製造した炭素繊維プリプレグ材料が、イギリスの老舗旅行鞄ブランド「グローブ・トロッター」の創業110周年記念商品の世界最軽量スーツケース（商品名:110（ワンテン））に採用されました。外観に深みを出すだけでなく、軽さと強度とを両立させる材料製造技術を駆使して製品化しました。また、高い耐圧力強度を実現した医療用高圧タンクも製造しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/048.html
e-CLEAR下水道受益者負担金システム,国内シェア1位,社会インフラ・ソリューション,三谷コンピュータ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ict/mitani-com02.jpg,稼働自治体数250。国内シェアNo.1,当システムは、下水道整備時の工事代金を負担していただく住民の方の負担額計算や、収納業務に使われています。全国の地方自治体の条例や施行規則に対応できるようにパラメータ設定を多数行い、システムの柔軟性を持っている点や、基礎データの管理から、調定、収納、未納管理までを一つのシステムで統合管理できる点に好評をいただき、国内シェアナンバーワンを誇っています。全国100を超えるパートナー様と販売網を築き、各地で利用されているため、私たちの生活の身近なところで当社のソフトウェアが使われています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/161.html
大口径高強度コンクリートパイルと高支持力工法,国内シェア1位,社会インフラ・ソリューション,三谷セキサン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/mitani-sekisan02.jpg,夏の熱を地中保存し融雪・空調に利用,夏の太陽熱で舗装内に埋め込まれた管内の水は高温となり、その水が熱交換杭を循環する間に地中を温めます。逆に冷やされた水は舗装内に戻って再び温められます。こうして夏の終わりには熱交換杭群の温度は33℃にもなります。その後、熱は拡散しますが、初冬でも30℃を保持し無散水融雪に利用できます。 熱交換杭埋設工法は、当社と福井大学・福井県と環境省地球温暖化対策技術開発事業の共同研究で開発したもので、当社の国交省大臣認定工法であるニーデイング工法のノウハウを使用します。直接ポリエチレン管を地中に設置する他に、Hybridニーデイング工法等で設置したパイルの中空部内、またMSコラム(地盤改良杭)内に設置する等の種々のバリエーション があり、支持力とエネルギーを合わせ持ったパイルとして融雪と空調に利用することにより、当社工法に付加価値をつけることが期待できます。 施工事例としては、駅前広場や高速道路の料金所等に採用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/180.html
滑り止めニットテキスタイル,,住宅・家電,ミツカワ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/mitsukawa02.jpg,ニット生地に滑り止め材を編み込み、新機能を付加,現在、日本を含む先進各国において高齢化が進み、介護や老人医療の充実が図られ、安全対策のひとつとして、滑り止め素材が至る所に用いられています。また、地震や火災、事故などの緊急時の安全対策としても、滑り止め素材は重要な役割を担っています。従来の滑り止め素材は、汚れが落ちにくい、伸びない、通気性が悪いといった問題点がありました。当社が開発した滑り止め材（ハニーグリップ）は、従来の編み手法や編み組織を改良し、ニット生地に滑り止め材を編み込む製法を開発しました。それにより、ニット生地に別の機能（抗菌、防臭、撥水、吸水など）を付加することができ、滑り止め製品全体にも新しい機能を付加できるようになりました。通気性や洗濯性が良く、接触面へのダメージもないため、従来製品の高機能化や衣料製品などへの応用が検討されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/049.html
航空機エンジン構造案内翼部材用炭素繊維複合材料,,航空・宇宙,株式会社ミツヤ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/mitsuya02.jpg,"エアバス社の新型航空機に採用。
                      複合材を用いたエンジン部材の量産化は世界初",福井県が開発した空気流による開繊技術を活用し、㈱IHIと共同で、低コストかつ軽量、高性能な耐熱熱可塑性樹脂炭素繊維複合材料を開発。均一な厚みで反りがなく、欠陥の出にくい薄層プリプレグシートの高速量産を実現しました。鳥の衝突など耐衝撃性に強い一方で、部材の軽量化も両立。大手航空機エンジンメーカーに認められ、航空機エンジンの構造案内翼部材に採用されました。当社の部材が、世界のフライトを支えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/050.html
